activityType,hintsUsed,attemptCount,timeSpentSeconds,conceptUnderstanding,decisionMaking,boundaryConditions,codingImplementation,hintDependency,testCasesTotal,testCasesPassed,executionStatus,success,score,accuracy
debugging,1,4,38,,,77.53,90.42,26.73,14.0,12.0,pass,True,,
coding,4,2,151,,,72.77,82.86,60.31,10.0,9.0,pass,True,,
interview,0,1,161,31.4,,,,0.0,,,,,47.62,0.48
debugging,2,2,48,,,45.07,27.74,27.54,11.0,6.0,fail,False,,
coding,1,4,30,,,46.87,37.14,7.27,13.0,6.0,fail,False,,
coding,4,6,87,,,25.91,8.09,57.19,9.0,2.0,error,False,,
battle,1,1,43,90.95,76.89,,,8.72,,,,,81.58,0.79
battle,1,4,193,49.52,52.33,,,13.36,,,,,52.57,0.57
battle,3,3,174,53.75,60.85,,,40.48,,,,,61.69,0.68
battle,0,2,39,100.0,84.22,,,4.54,,,,,96.81,0.95
interview,0,3,92,57.5,,,,8.07,,,,,56.53,0.66
battle,2,1,35,94.68,95.24,,,32.4,,,,,82.6,0.8
coding,1,3,174,,,40.42,42.64,19.21,9.0,5.0,fail,False,,
battle,1,4,124,56.52,66.4,,,17.33,,,,,61.9,0.62
coding,3,5,251,,,37.12,38.49,45.47,13.0,8.0,fail,False,,
battle,4,6,95,68.22,50.31,,,61.42,,,,,67.09,0.69
coding,3,1,195,,,83.4,76.34,45.81,5.0,4.0,pass,True,,
debugging,0,5,167,,,50.57,34.96,0.0,8.0,4.0,fail,False,,
battle,5,3,72,28.86,57.42,,,77.82,,,,,33.92,0.39
interview,0,3,224,63.96,,,,3.27,,,,,60.98,0.68
battle,4,2,121,61.98,72.18,,,58.35,,,,,61.14,0.64
battle,5,2,102,27.5,63.51,,,72.99,,,,,25.91,0.27
debugging,4,1,55,,,52.75,30.23,61.25,12.0,7.0,fail,False,,
interview,1,5,183,25.6,,,,24.57,,,,,20.65,0.23
coding,2,4,256,,,20.42,10.04,32.18,7.0,2.0,error,False,,
coding,0,1,260,,,70.03,100.0,0.53,13.0,11.0,pass,True,,
debugging,0,5,175,,,66.91,47.52,6.17,8.0,5.0,fail,False,,
battle,3,3,71,60.71,60.51,,,38.87,,,,,69.1,0.72
coding,4,6,99,,,54.67,39.2,63.94,11.0,6.0,fail,False,,
debugging,5,6,123,,,62.39,71.62,78.51,13.0,10.0,pass,True,,
battle,3,5,147,74.16,72.6,,,63.32,,,,,68.41,0.77
battle,1,6,67,59.09,52.14,,,7.03,,,,,55.95,0.58
coding,4,2,201,,,25.79,28.66,57.15,6.0,2.0,fail,False,,
battle,0,1,294,67.86,54.46,,,0.0,,,,,48.7,0.53
interview,2,3,30,76.78,,,,30.63,,,,,76.51,0.79
battle,4,6,242,38.31,31.43,,,60.8,,,,,31.32,0.35
battle,4,2,118,91.61,78.44,,,56.49,,,,,79.41,0.77
debugging,0,1,174,,,30.77,28.38,15.46,5.0,2.0,fail,False,,
interview,2,3,227,47.35,,,,31.16,,,,,41.08,0.47
debugging,4,1,260,,,31.61,23.7,65.8,11.0,3.0,error,False,,
battle,2,2,147,89.23,72.74,,,23.64,,,,,74.74,0.86
battle,4,4,202,83.44,54.47,,,66.09,,,,,72.39,0.76
debugging,5,2,67,,,49.58,34.61,66.29,10.0,5.0,fail,False,,
interview,1,5,133,22.67,,,,32.12,,,,,21.97,0.21
interview,3,4,162,34.63,,,,46.52,,,,,31.08,0.32
coding,0,6,80,,,81.7,90.7,1.29,10.0,9.0,pass,True,,
coding,5,4,211,,,82.21,100.0,71.71,11.0,10.0,pass,True,,
interview,4,1,166,58.67,,,,64.31,,,,,59.61,0.68
interview,0,2,104,65.3,,,,0.0,,,,,60.44,0.58
interview,2,3,280,55.58,,,,28.28,,,,,55.91,0.6
interview,0,1,92,30.93,,,,0.0,,,,,35.28,0.37
battle,3,1,206,60.49,56.65,,,52.75,,,,,55.7,0.63
coding,2,3,240,,,35.99,6.25,22.17,5.0,1.0,error,False,,
coding,0,6,204,,,49.65,19.76,17.01,5.0,2.0,fail,False,,
battle,4,3,295,38.68,39.88,,,61.43,,,,,40.78,0.42
interview,1,5,37,12.0,,,,20.05,,,,,18.79,0.22
debugging,4,3,80,,,79.99,88.42,51.45,6.0,5.0,pass,True,,
coding,2,4,194,,,31.15,18.83,30.43,10.0,3.0,error,False,,
debugging,1,1,180,,,81.09,84.67,17.31,6.0,5.0,pass,True,,
coding,1,3,148,,,64.98,28.56,22.34,8.0,5.0,fail,False,,
coding,4,4,110,,,81.36,84.73,59.74,11.0,9.0,pass,True,,
coding,0,2,266,,,35.81,25.64,0.0,13.0,5.0,fail,False,,
interview,1,2,58,16.45,,,,11.22,,,,,22.18,0.21
battle,1,4,70,60.77,68.78,,,17.86,,,,,73.26,0.72
interview,4,1,202,80.51,,,,66.88,,,,,81.03,0.87
coding,3,6,222,,,11.28,18.45,55.18,7.0,1.0,error,False,,
interview,0,3,261,93.16,,,,0.0,,,,,75.82,0.73
battle,0,2,65,89.18,78.77,,,0.0,,,,,89.01,0.87
battle,0,1,158,48.37,62.88,,,16.09,,,,,58.9,0.6
debugging,1,5,137,,,21.51,18.57,7.39,6.0,1.0,error,False,,
battle,4,1,86,59.99,69.34,,,55.84,,,,,49.39,0.56
interview,4,1,244,100.0,,,,65.86,,,,,100.0,0.98
interview,2,2,55,23.51,,,,35.73,,,,,22.48,0.23
battle,2,2,244,29.21,54.07,,,34.6,,,,,22.95,0.24
coding,2,4,217,,,57.29,97.42,32.38,6.0,5.0,pass,True,,
debugging,3,1,33,,,52.3,42.07,40.45,6.0,3.0,fail,False,,
coding,2,2,63,,,29.03,17.89,28.63,11.0,3.0,error,False,,
debugging,5,4,58,,,59.87,27.65,71.38,9.0,5.0,fail,False,,
battle,1,6,94,27.19,35.25,,,18.97,,,,,34.1,0.39
interview,1,6,182,20.05,,,,18.22,,,,,20.58,0.24
battle,3,4,216,86.31,82.53,,,43.84,,,,,93.85,0.9
battle,3,4,88,56.91,52.27,,,40.35,,,,,53.04,0.52
coding,1,3,255,,,69.99,81.53,12.09,14.0,11.0,pass,True,,
debugging,0,1,128,,,76.14,83.04,0.0,8.0,7.0,pass,True,,
coding,1,6,174,,,51.36,26.28,17.41,10.0,6.0,fail,False,,
debugging,3,5,166,,,79.14,92.34,38.85,7.0,6.0,pass,True,,
interview,0,5,255,31.85,,,,0.0,,,,,40.56,0.41
coding,1,6,66,,,72.57,98.57,19.86,9.0,8.0,pass,True,,
debugging,1,3,266,,,76.13,93.76,15.25,5.0,4.0,pass,True,,
battle,2,3,198,83.13,66.71,,,21.82,,,,,82.24,0.94
battle,2,5,278,19.92,18.8,,,34.16,,,,,22.68,0.22
coding,1,4,287,,,33.49,17.35,15.2,11.0,3.0,error,False,,
battle,0,2,217,18.13,34.0,,,0.0,,,,,21.01,0.21
debugging,1,1,253,,,27.75,16.78,12.54,9.0,2.0,error,False,,
coding,3,3,221,,,70.36,98.93,47.86,5.0,4.0,pass,True,,
coding,1,3,239,,,12.68,9.58,17.57,11.0,2.0,error,False,,
interview,2,3,87,23.41,,,,37.89,,,,,17.71,0.2
debugging,4,1,68,,,79.47,83.81,59.66,11.0,9.0,pass,True,,
debugging,5,4,51,,,61.7,35.99,78.02,9.0,6.0,fail,False,,
debugging,2,1,87,,,18.24,31.11,25.16,10.0,3.0,error,False,,
debugging,3,3,101,,,16.63,26.94,42.07,9.0,2.0,error,False,,
debugging,2,5,210,,,91.24,97.61,12.63,12.0,11.0,pass,True,,
battle,5,6,265,24.74,20.47,,,77.56,,,,,33.56,0.38
coding,2,5,238,,,38.44,46.33,38.08,12.0,6.0,fail,False,,
debugging,5,3,246,,,70.85,78.16,77.6,12.0,9.0,pass,True,,
interview,0,6,189,16.51,,,,3.06,,,,,20.32,0.21
interview,1,4,31,54.04,,,,6.97,,,,,64.4,0.63
coding,1,6,151,,,75.71,86.42,7.25,6.0,5.0,pass,True,,
interview,2,5,152,73.31,,,,30.42,,,,,78.58,0.77
coding,3,6,113,,,61.71,96.0,52.35,11.0,8.0,pass,True,,
coding,1,3,156,,,39.49,18.32,23.21,13.0,4.0,fail,False,,
interview,3,5,54,96.18,,,,42.76,,,,,89.97,0.98
interview,4,5,212,40.71,,,,63.54,,,,,51.51,0.59
debugging,2,5,122,,,46.5,40.98,20.59,11.0,6.0,fail,False,,
battle,3,5,33,100.0,71.65,,,49.53,,,,,79.11,0.79
debugging,0,4,279,,,72.47,50.87,0.0,6.0,4.0,fail,False,,
debugging,2,2,275,,,61.07,45.44,37.93,7.0,4.0,fail,False,,
debugging,1,4,269,,,38.93,23.15,26.62,6.0,2.0,fail,False,,
coding,5,4,140,,,47.7,42.76,83.21,12.0,7.0,fail,False,,
battle,2,1,57,37.4,54.72,,,35.65,,,,,46.23,0.46
debugging,5,6,109,,,38.79,37.97,73.09,14.0,7.0,fail,False,,
battle,3,3,30,40.49,65.9,,,39.81,,,,,48.89,0.5
battle,0,4,185,83.81,68.15,,,0.0,,,,,85.72,0.89
coding,1,1,49,,,35.23,28.67,16.04,7.0,3.0,fail,False,,
battle,2,6,41,33.6,44.77,,,33.14,,,,,33.38,0.32
battle,2,2,180,80.01,69.67,,,23.43,,,,,77.12,0.74
interview,5,5,115,39.63,,,,70.45,,,,,39.71,0.4
coding,1,2,174,,,74.0,90.47,16.38,14.0,12.0,pass,True,,
interview,0,6,30,42.9,,,,4.47,,,,,50.49,0.52
coding,5,4,221,,,19.0,11.92,82.04,13.0,3.0,error,False,,
coding,4,6,161,,,50.53,32.26,57.71,10.0,5.0,fail,False,,
battle,5,6,118,57.27,61.05,,,82.76,,,,,66.22,0.69
battle,0,1,131,33.1,61.33,,,0.0,,,,,25.1,0.26
coding,0,3,114,,,88.88,93.63,0.41,10.0,9.0,pass,True,,
debugging,3,4,72,,,71.87,90.02,36.73,11.0,9.0,pass,True,,
debugging,2,4,170,,,31.79,19.33,24.72,8.0,3.0,fail,False,,
debugging,3,3,165,,,50.93,51.59,37.27,14.0,9.0,fail,False,,
interview,1,1,292,65.57,,,,8.22,,,,,61.51,0.62
interview,0,2,65,80.36,,,,0.0,,,,,78.84,0.85
battle,1,3,170,88.69,76.73,,,23.44,,,,,81.27,0.91
coding,0,5,199,,,56.17,85.13,0.0,12.0,9.0,pass,True,,
interview,1,3,129,21.43,,,,27.74,,,,,26.95,0.28
battle,1,5,204,54.07,43.48,,,18.52,,,,,55.35,0.58
debugging,3,3,167,,,40.92,50.37,38.44,13.0,6.0,fail,False,,
coding,2,5,175,,,52.06,83.64,19.95,11.0,8.0,pass,True,,
coding,1,5,65,,,48.58,57.73,23.43,12.0,8.0,fail,False,,
battle,2,6,225,67.06,40.77,,,38.67,,,,,63.56,0.74
interview,1,3,87,57.9,,,,20.77,,,,,45.89,0.47
coding,3,6,65,,,23.07,27.74,47.93,9.0,3.0,fail,False,,
interview,1,6,187,45.17,,,,26.08,,,,,46.99,0.48
interview,2,6,266,73.44,,,,24.73,,,,,64.04,0.74
coding,1,1,67,,,42.15,26.46,12.96,6.0,3.0,fail,False,,
battle,2,3,209,45.75,56.27,,,24.97,,,,,44.01,0.42
interview,4,4,41,99.68,,,,56.93,,,,,92.37,0.9
coding,2,4,43,,,9.71,16.65,28.78,6.0,1.0,error,False,,
coding,0,5,193,,,49.45,45.71,0.84,5.0,3.0,fail,False,,
debugging,2,1,54,,,12.46,11.33,24.4,9.0,1.0,error,False,,
interview,3,5,60,60.22,,,,45.38,,,,,56.73,0.6
battle,2,6,159,62.89,53.37,,,24.45,,,,,63.4,0.72
debugging,1,5,85,,,15.51,18.97,10.81,13.0,4.0,fail,False,,
debugging,3,1,289,,,81.81,99.58,40.05,8.0,7.0,pass,True,,
interview,4,4,153,85.02,,,,63.29,,,,,77.61,0.83
interview,4,3,36,51.56,,,,46.39,,,,,31.67,0.34
battle,5,2,91,40.72,57.89,,,72.26,,,,,40.87,0.41
battle,4,5,271,56.75,43.77,,,52.17,,,,,62.59,0.7
debugging,4,4,285,,,72.22,96.38,59.81,8.0,7.0,pass,True,,
debugging,0,5,71,,,83.26,93.39,0.0,9.0,8.0,pass,True,,
coding,3,5,126,,,71.9,82.84,44.38,11.0,8.0,pass,True,,
debugging,0,4,202,,,12.65,11.81,5.6,7.0,1.0,error,False,,
interview,4,1,116,24.72,,,,57.44,,,,,21.91,0.26
battle,3,5,261,41.29,31.26,,,35.57,,,,,48.21,0.48
debugging,1,5,290,,,78.97,80.7,18.76,10.0,8.0,pass,True,,
battle,0,2,78,19.91,57.11,,,0.0,,,,,26.61,0.26
coding,4,4,169,,,28.32,17.31,59.63,12.0,3.0,error,False,,
interview,3,2,40,50.29,,,,39.2,,,,,48.08,0.5
coding,0,2,242,,,68.3,48.02,0.0,5.0,3.0,fail,False,,
debugging,0,4,262,,,62.61,57.86,0.0,6.0,4.0,fail,False,,
debugging,3,3,285,,,54.21,38.22,47.28,10.0,6.0,fail,False,,
battle,3,3,79,39.64,57.54,,,47.2,,,,,35.27,0.37
debugging,4,5,213,,,67.16,83.21,53.99,11.0,8.0,pass,True,,
interview,4,2,215,18.03,,,,66.3,,,,,18.66,0.21
coding,1,3,39,,,61.63,87.56,9.05,9.0,7.0,pass,True,,
battle,4,1,115,81.87,87.83,,,61.62,,,,,73.81,0.87
interview,2,3,252,57.21,,,,35.58,,,,,45.57,0.44
interview,5,3,183,38.56,,,,72.2,,,,,47.86,0.51
battle,4,4,148,84.02,72.83,,,68.84,,,,,85.63,0.9
coding,3,4,283,,,23.34,19.95,62.59,7.0,2.0,error,False,,
coding,2,6,181,,,64.9,90.34,39.19,14.0,10.0,pass,True,,
interview,4,4,212,51.09,,,,53.86,,,,,42.88,0.5
interview,2,3,147,84.18,,,,22.83,,,,,71.4,0.71
debugging,5,6,153,,,16.44,13.46,83.39,9.0,3.0,fail,False,,
battle,2,1,283,62.48,51.89,,,21.78,,,,,66.22,0.67
interview,4,4,78,74.67,,,,64.86,,,,,74.66,0.76
coding,1,3,158,,,49.25,43.05,13.08,8.0,5.0,fail,False,,
interview,2,4,299,35.54,,,,28.57,,,,,36.14,0.4
battle,5,4,257,4.16,36.0,,,85.98,,,,,19.57,0.23
debugging,5,2,189,,,41.52,35.23,76.73,11.0,5.0,fail,False,,
coding,0,5,50,,,9.14,15.94,3.89,6.0,1.0,error,False,,
battle,2,3,190,36.69,53.69,,,27.01,,,,,40.88,0.4
battle,4,2,57,75.17,90.59,,,78.64,,,,,67.2,0.78
coding,5,6,127,,,59.59,45.26,66.14,6.0,4.0,fail,False,,
interview,2,5,196,68.16,,,,29.01,,,,,54.88,0.64
coding,2,3,78,,,84.72,89.2,30.4,11.0,9.0,pass,True,,
interview,5,5,108,88.12,,,,72.96,,,,,99.23,0.99
debugging,1,1,277,,,35.46,24.37,21.18,5.0,2.0,fail,False,,
debugging,0,3,207,,,34.88,26.41,8.45,7.0,3.0,fail,False,,
interview,3,4,193,58.8,,,,38.4,,,,,63.5,0.71
coding,1,2,297,,,69.31,90.19,17.66,7.0,6.0,pass,True,,
interview,0,5,205,25.82,,,,0.0,,,,,30.18,0.32
interview,0,4,45,98.5,,,,1.43,,,,,93.83,0.99
coding,3,4,131,,,53.31,53.13,40.69,14.0,7.0,fail,False,,
battle,3,2,183,32.9,49.28,,,46.36,,,,,35.75,0.35
debugging,3,4,242,,,49.01,47.78,54.22,12.0,7.0,fail,False,,
coding,4,4,277,,,22.5,15.36,61.71,7.0,2.0,error,False,,
coding,2,1,205,,,66.01,51.68,15.79,10.0,7.0,fail,False,,
debugging,2,1,241,,,66.37,77.19,26.58,7.0,5.0,pass,True,,
interview,2,4,172,41.03,,,,33.67,,,,,31.71,0.37
coding,3,4,68,,,60.75,89.69,35.78,13.0,10.0,pass,True,,
battle,5,3,248,55.2,51.53,,,68.24,,,,,52.53,0.56
debugging,2,6,113,,,20.32,15.33,37.7,5.0,1.0,error,False,,
debugging,5,1,112,,,60.74,58.84,80.9,11.0,7.0,fail,False,,
battle,3,3,149,73.13,64.97,,,51.6,,,,,73.1,0.76
interview,0,4,118,56.12,,,,5.22,,,,,58.59,0.68
interview,1,1,154,33.52,,,,21.32,,,,,30.15,0.35
battle,5,1,187,78.19,66.92,,,63.62,,,,,80.2,0.83
battle,2,4,230,96.59,85.46,,,35.5,,,,,91.27,0.93
debugging,3,6,105,,,76.37,100.0,37.16,7.0,6.0,pass,True,,
debugging,5,4,186,,,18.96,20.21,67.21,7.0,2.0,error,False,,
coding,3,5,96,,,46.0,41.35,47.97,6.0,3.0,fail,False,,
coding,0,5,297,,,14.99,9.15,0.0,10.0,2.0,error,False,,
battle,0,5,138,65.05,57.81,,,0.0,,,,,62.4,0.69
coding,0,6,219,,,12.84,6.4,0.0,12.0,2.0,error,False,,
battle,4,1,221,92.01,80.43,,,46.87,,,,,87.87,0.95
interview,4,3,88,74.8,,,,54.74,,,,,62.1,0.61
debugging,2,5,156,,,40.05,30.44,29.58,5.0,2.0,fail,False,,
battle,4,5,297,86.26,55.75,,,51.61,,,,,80.64,0.77
coding,5,5,244,,,49.04,44.4,77.94,5.0,3.0,fail,False,,
coding,0,4,111,,,61.77,86.08,1.35,12.0,9.0,pass,True,,
debugging,4,1,231,,,75.39,100.0,58.82,6.0,5.0,pass,True,,
debugging,5,1,68,,,84.46,92.63,77.67,9.0,8.0,pass,True,,
interview,1,1,297,38.38,,,,9.79,,,,,41.3,0.44
battle,5,1,156,54.14,62.72,,,75.65,,,,,47.26,0.47
coding,2,2,128,,,66.37,95.75,30.57,10.0,8.0,pass,True,,
debugging,2,4,201,,,54.02,25.45,28.25,13.0,7.0,fail,False,,
coding,2,1,147,,,56.98,41.32,37.23,11.0,6.0,fail,False,,
battle,0,1,76,39.18,67.28,,,0.0,,,,,27.67,0.32
debugging,2,6,93,,,65.16,37.18,18.6,8.0,5.0,fail,False,,
battle,4,2,96,85.88,82.43,,,60.99,,,,,90.02,0.97
coding,5,3,154,,,67.52,74.62,62.37,9.0,7.0,pass,True,,
debugging,5,4,230,,,10.47,16.31,64.83,5.0,1.0,error,False,,
battle,4,6,97,61.72,57.82,,,59.87,,,,,55.3,0.63
debugging,1,2,138,,,39.95,20.6,11.56,7.0,2.0,error,False,,
battle,3,3,121,34.2,43.11,,,47.27,,,,,36.82,0.37
coding,0,2,194,,,40.7,27.84,7.42,11.0,5.0,fail,False,,
interview,5,3,93,57.52,,,,86.65,,,,,45.46,0.48
coding,4,6,34,,,89.68,94.13,55.34,14.0,13.0,pass,True,,
interview,3,4,99,57.74,,,,36.79,,,,,62.07,0.67
interview,2,3,221,66.51,,,,25.42,,,,,57.33,0.59
debugging,3,5,192,,,13.61,10.59,42.64,13.0,3.0,error,False,,
debugging,5,3,42,,,68.52,55.66,81.2,10.0,7.0,fail,False,,
coding,5,5,233,,,31.48,35.41,82.71,6.0,2.0,fail,False,,
coding,2,3,293,,,0.0,9.04,38.46,9.0,1.0,error,False,,
debugging,1,1,289,,,50.77,33.49,16.02,10.0,4.0,fail,False,,
battle,4,2,74,45.27,70.03,,,60.21,,,,,38.05,0.44
interview,5,4,42,66.65,,,,75.02,,,,,65.44,0.73
debugging,5,6,84,,,25.21,27.07,82.19,10.0,4.0,fail,False,,
battle,5,5,298,75.74,48.1,,,63.43,,,,,62.82,0.72
coding,1,2,83,,,38.59,56.35,22.03,8.0,5.0,fail,False,,
coding,3,5,51,,,66.63,73.05,37.95,11.0,8.0,pass,True,,
coding,1,2,156,,,64.85,83.95,12.73,13.0,10.0,pass,True,,
interview,5,6,238,34.71,,,,68.99,,,,,25.96,0.28
debugging,0,3,191,,,33.93,28.42,7.19,7.0,3.0,fail,False,,
interview,2,5,215,16.97,,,,35.29,,,,,22.52,0.23
battle,4,3,42,35.67,48.08,,,62.87,,,,,31.36,0.35
battle,5,1,50,90.64,76.07,,,90.69,,,,,87.06,1.0
interview,0,3,175,72.47,,,,0.0,,,,,71.05,0.71
interview,1,1,195,63.38,,,,5.72,,,,,59.29,0.58
battle,4,2,245,89.54,71.32,,,52.5,,,,,82.67,0.94
coding,5,1,50,,,66.27,90.84,68.85,13.0,11.0,pass,True,,
debugging,4,2,75,,,83.52,97.91,70.36,9.0,8.0,pass,True,,
coding,1,3,140,,,9.32,12.52,19.61,8.0,1.0,error,False,,
interview,1,6,148,85.21,,,,14.71,,,,,82.29,0.82
debugging,5,5,199,,,27.64,10.96,75.14,13.0,3.0,error,False,,
coding,3,1,155,,,72.86,51.36,57.4,9.0,6.0,fail,False,,
interview,4,6,88,35.4,,,,64.74,,,,,38.18,0.44
interview,4,4,247,69.81,,,,54.42,,,,,69.78,0.67
interview,1,3,172,69.75,,,,3.84,,,,,65.25,0.65
debugging,1,1,55,,,61.45,85.57,8.94,13.0,10.0,pass,True,,
battle,3,4,78,79.27,70.56,,,43.94,,,,,74.7,0.78
coding,0,2,34,,,48.63,42.66,0.0,8.0,5.0,fail,False,,
coding,5,3,255,,,68.62,96.8,75.03,9.0,8.0,pass,True,,
coding,1,6,231,,,15.75,18.13,16.29,7.0,2.0,error,False,,
debugging,3,1,238,,,22.12,13.79,42.0,10.0,2.0,error,False,,
interview,2,2,168,54.33,,,,45.95,,,,,58.64,0.57
coding,1,6,289,,,73.81,73.04,10.99,7.0,5.0,pass,True,,
debugging,4,2,276,,,31.53,36.0,67.35,8.0,3.0,fail,False,,
debugging,3,2,122,,,57.24,45.83,53.23,10.0,6.0,fail,False,,
interview,3,2,284,50.5,,,,36.25,,,,,46.63,0.46
interview,2,6,130,73.14,,,,26.1,,,,,77.84,0.92
interview,0,6,277,47.48,,,,24.47,,,,,57.18,0.59
interview,4,6,192,36.69,,,,59.41,,,,,40.97,0.42
battle,3,5,210,28.33,26.93,,,54.65,,,,,34.85,0.39
battle,4,2,222,23.63,58.89,,,60.23,,,,,34.81,0.34
debugging,4,3,105,,,88.52,100.0,54.36,11.0,10.0,pass,True,,
coding,3,2,145,,,36.21,20.39,42.16,12.0,4.0,fail,False,,
interview,5,1,224,92.06,,,,70.43,,,,,81.95,0.86
battle,4,4,98,46.11,59.13,,,66.67,,,,,60.57,0.63
battle,1,6,114,50.53,48.7,,,11.13,,,,,39.71,0.44
battle,4,2,59,73.62,87.02,,,68.36,,,,,75.64,0.85
coding,3,6,242,,,49.81,43.6,43.24,10.0,6.0,fail,False,,
debugging,1,2,61,,,30.63,24.65,18.36,13.0,5.0,fail,False,,
battle,3,4,140,77.46,58.15,,,61.1,,,,,77.29,0.77
battle,2,4,110,64.88,64.35,,,37.57,,,,,58.88,0.57
coding,0,1,280,,,18.6,12.98,6.47,13.0,4.0,fail,False,,
interview,4,3,92,61.49,,,,65.16,,,,,52.63,0.55
battle,2,2,129,53.01,48.95,,,34.87,,,,,43.39,0.51
debugging,4,3,197,,,37.31,16.36,57.5,7.0,3.0,fail,False,,
interview,4,6,176,80.92,,,,53.03,,,,,78.65,0.89
interview,3,2,51,43.76,,,,52.42,,,,,39.04,0.4
debugging,1,3,208,,,35.52,39.86,15.49,9.0,4.0,fail,False,,
battle,4,1,98,21.8,40.65,,,49.39,,,,,25.64,0.25
debugging,5,5,76,,,55.97,35.45,76.15,8.0,5.0,fail,False,,
debugging,5,5,277,,,30.2,14.57,78.65,8.0,3.0,fail,False,,
battle,1,6,186,61.1,38.79,,,17.72,,,,,57.22,0.64
battle,3,3,295,66.89,64.98,,,47.62,,,,,61.22,0.61
coding,5,2,248,,,49.53,30.9,71.17,7.0,4.0,fail,False,,
coding,5,3,163,,,51.0,47.34,80.81,14.0,7.0,fail,False,,
debugging,3,3,287,,,64.94,45.48,43.5,10.0,7.0,fail,False,,
battle,0,5,97,98.23,83.2,,,0.0,,,,,90.95,0.95
interview,5,6,174,46.84,,,,86.9,,,,,47.46,0.46
battle,0,4,161,16.94,46.21,,,11.74,,,,,20.06,0.21
coding,1,4,197,,,27.06,23.07,24.03,11.0,3.0,error,False,,
